Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
Steve P. Westly,The Westly Group,,,,Venture Capital,www.westlygroup.com,"Europe, North America","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.50,"Menlo Park, CA",www.westlygroup.com,$5B to $10B,No,5%,3.5,200,10X and above,IPO,Heavily Supportive,Heavily Involved ,Months,5,501%,High,0%,No
Michael Lee,Dominion Ventures,,,,Venture Capital,www.dominion.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"Walnut Creek, CA",www.dominion.com,,,,,,,,,,,,,,,
Giuseppe Zocco,Index Ventures,,,,Venture Capital,www.indexventures.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$80.00,"San Francisco, CA",www.indexventures.com,,,,,,,,,,,,,,,
Roger Hungerford,Talis Equity,,,,Venture Capital,www.talisequity.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.talisequity.com,,,,,,,,,,,,,,,
Charles E. Haberkorn,Stonehenge Capital,,,,Growth/Expansion,www.stonehengecapital.com,,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.stonehengecapital.com,,,,,,,,,,,,,,,
Ross Edward Baird,Village Capital,,,,Accelerator/Incubator,www.vilcap.com,"Africa, Central America, East Asia, Europe, Middle East, South America, South Asia, Southeast Asia, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.01,"Washington, DC",www.vilcap.com,,No,80%,3.8,70,Over 5X and under 10X,Revenue driven returns,Weak,Outside Reliance,Weeks,4,5%,Medium,89%,Case by case
Clive Sherling,Bridges Fund Management,,,,Asset Manager,www.bridgesfundmanagement.com,"Canada, Central America, Europe, North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.27,$2.70,"London, United Kingdom",www.bridgesfundmanagement.com,,,,,,,,,,,,,,,
Ariel Arrieta,NXTP Ventures,,,,Venture Capital,www.nxtp.vc,"Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Panama, Paraguay, Peru, Uruguay, Venezuela","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.20,"Buenos Aires, Argentina",www.nxtp.vc,,,,,,,,,,,,,,,
Prasad Vanga,Anthill Capital Ventures,,,,Venture Capital,www.anthillventures.com,India,"Bridge,Early Stage",,"Convertible Debt,SAFE,Debt",$0.01,$0.09,"Hyderabad, India",www.anthillventures.com,,,,,,,,,,,,,,,
Mark Suster,Upfront Ventures,,,,Venture Capital,www.upfront.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$3.00,$0.05,"Santa Monica, CA",www.upfront.com,,Yes,36%,5.0,300,10X and above,"IPO,Liquidation",Heavily Supportive,Outside Reliance,Months,5,50%,Low,67%,No
Joshua Cohen,City Light Capital,,,,Venture Capital,www.citylight.vc,"North America, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.30,"New York, NY",www.citylight.vc,,,,,,,,,,,,,,,
Don Douglas,Geekdom Fund,,,,Venture Capital,www.geekdomfund.com,"Canada, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"San Antonio, TX",www.geekdomfund.com,,,,,,,,,,,,,,,
George M. Weiss,Beechtree Capital,,,,Venture Capital,www.beechtreecapital.com,"Midwest, Northwest, West Coast","Add-on,Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Scottsdale, AZ",www.beechtreecapital.com,,,,,,,,,,,,,,,
Shomit Ghose,ONSET Ventures,,,,Venture Capital,www.onset.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$12.00,"Menlo Park, CA",www.onset.com,,,,,,,,,,,,,,,
,Signal Lake Management,,,,Venture Capital,www.signallake.com,Northeast,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$10.00,"Westport, CT",www.signallake.com,,,,,,,,,,,,,,,
Hikaru Saito,Astellas Venture Management,,,,Corporate Venture Capital,www.astellasventure.com,"Asia, Europe, North America, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Brisbane, CA",www.astellasventure.com,,,,,,,,,,,,,,,
David Lichtenstein,Sycamore Ventures,,,,PE/Buyout,www.sycaventures.com,"East Asia, India, United States","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.30,"Princeton, NJ",www.sycaventures.com,,,,,,,,,,,,,,,
Steve Christensen,Highmark Health Ventures,,,,Venture Capital,www.highmarkhealth.org,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Pittsburgh, PA",www.highmarkhealth.org,,,,,,,,,,,,,,,
David J. Parker,Ampersand Capital Partners,,,,Growth/Expansion,www.ampersandcapital.com,"Europe, North America","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,"Wellesley, MA",www.ampersandcapital.com,,,,,,,,,,,,,,,
Steve Brotman,Silicon Alley Venture Partners,,,,Venture Capital,www.savp.com,"Mid Atlantic, New England, Northeast, Southeast",,,"Convertible Debt,SAFE,Debt",$0.03,$1.00,"New York, NY",www.savp.com,,,,,,,,,,,,,,,
Jeff Eggers,R2 Risk & Return,,,,Venture Capital,www.riskandreturn.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$2.00,"McLean, VA",www.riskandreturn.com,,,,,,,,,,,,,,,
Ryan Swagar,Hinge Capital,,,,Venture Capital,www.hingecapital.com,"Americas, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,,www.hingecapital.com,,,,,,,,,,,,,,,
Catherine V. Mott,BlueTree Allied Angels,,,,Angel Group,www.bluetreealliedangels.com,Pennsylvania,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.30,"Wexford, PA",www.bluetreealliedangels.com,,,,,,,,,,,,,,,
Elad Gilo,Gilo Ventures,,,,Venture Capital,www.giloventures.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$20.00,"Los Gatos, CA",www.giloventures.com,,,,,,,,,,,,,,,
,Boston Syndicates,,,,Venture Capital,www.bossbacked.com, ,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.05,"Boston, MA",www.bossbacked.com,,,,,,,,,,,,,,,
David Cohen,Techstars,,,,Accelerator/Incubator,www.techstars.com,"Africa, Americas, Asia, Canada, Middle East, Oceania, United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.02,"Boulder, CO",www.techstars.com,,,,,,,,,,,,,,,
Philippe Collombel,Partech,,,,Venture Capital,www.partechpartners.com,"Africa, Americas, Asia, Europe, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$5.88,"Paris, France",www.partechpartners.com,,,,,,,,,,,,,,,
Aileen Lee,Cowboy Ventures,,,,Venture Capital,www.cowboy.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.05,$0.40,"Palo Alto, CA",www.cowboy.vc,,,,,,,,,,,,,,,
Mohan Kumar,Avataar Venture Partners,,,,Venture Capital,www.avataar.vc,"India, Southeast Asia",,,"Convertible Debt,SAFE,Debt",$10.00,$30.00,"Bangalore, India",www.avataar.vc,,,,,,,,,,,,,,,
Robert F. Johnston,Johnston Associates,,,,Venture Capital,www.jaivc.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$3.00,,www.jaivc.com,,,,,,,,,,,,,,,
Kamini Ramani,Mayfield (Private Equity),,,,Venture Capital,www.mayfield.com,"India, United States","Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.50,$0.05,"Menlo Park, CA",www.mayfield.com,,,,,,,,,,,,,,,
Brett Berson,First Round Capital,,,,Venture Capital,www.firstround.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.08,$0.40,"Philadelphia, PA",www.firstround.com,,,,,,,,,,,,,,,
,Juvo Capital,,,,Venture Capital,www.juvocapital.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Pasadena, CA",www.juvocapital.com,,,,,,,,,,,,,,,
Tony Schell,Escalate Capital Partners,,,,Mezzanine,www.escalatecapital.com,United States,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,Debt,$0.30,$1.50,"Austin, TX",www.escalatecapital.com,,,,,,,,,,,,,,,
Michael T. Berolzheimer,Bee Partners,,,,Venture Capital,www.beepartners.vc,United States,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.04,$0.15,"San Francisco, CA",www.beepartners.vc,,,,,,,,,,,,,,,
Michael Biggee,Trident Capital,,,,Venture Capital,www.tridentcap.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$30.00,"San Mateo, CA",www.tridentcap.com,,,,,,,,,,,,,,,
Drew Graham,Ballast Point Ventures,,,,Venture Capital,www.ballastpointventures.com,"Southeast, Texas","Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.50,$1.20,"Tampa, FL",www.ballastpointventures.com,,,,,,,,,,,,,,,
Nisa Amoils,A100x,,,,Venture Capital,Www.a100x.com,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.25,"New York, NY",Www.a100x.com,,,,,,,,,,,,,,,
Ting Gootee,Elevate Ventures,,,,Venture Capital,www.elevateventures.com,Indiana,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$0.00,"Indianapolis, IN",www.elevateventures.com,,,,,,,,,,,,,,,
Curtis R Nelson,Iowa Seed Fund,,,,Venture Capital,www.isf2.com,Iowa,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Cedar Rapids, IA",www.isf2.com,,,,,,,,,,,,,,,
Pang Heng Soon,SGInnovate,,,,Venture Capital,www.sginnovate.com,Singapore,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.sginnovate.com,,,,,,,,,,,,,,,
Saurabh Sharma,Jump Capital,,,,Venture Capital,www.jumpcap.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$10.00,,www.jumpcap.com,,,,,,,,,,,,,,,
Ashish Taneja,growX Ventures,,,,Venture Capital,www.growxventures.com, ,"Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.00,"New Delhi, India",www.growxventures.com,,,,,,,,,,,,,,,
Benjamin Narasin,Benjamin Narasin,,,,Angel (individual), ,"408, 650, New York",,,"Convertible Debt,SAFE,Debt",$0.01,$0.25,"San Francisco, CA", ,,,,,,,,,,,,,,,
Palaniswamy V. Rajan,CTW Venture Partners,,,,Venture Capital,www.ctwvp.com,Southeast,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.30,"Cumming, GA",www.ctwvp.com,,,,,,,,,,,,,,,
Mike Witkowski,Maveron,,,,Venture Capital,www.maveron.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.30,$1.50,"Seattle, WA",www.maveron.com,,,,,,,,,,,,,,,
Philip A. Benyola,Bessemer Trust,,,,Family Office,www.bessemertrust.com,,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$50.00,"New York, NY",www.bessemertrust.com,,,,,,,,,,,,,,,
Bryant Hayward,North West Quadrant Ventures,,,,Family Office,www.nwqventures.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$5.00,$25.00,"Menlo Park, CA",www.nwqventures.com,,,,,,,,,,,,,,,
,Idinvest Partners,,,,PE/Buyout,www.idinvest.com,"Europe, South Asia","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Secondary Transaction - Private,Seed",,"Debt,Loan",$11.66,$0.01,"Paris, France",www.idinvest.com,,,,,,,,,,,,,,,
David Lau-Kee,London Venture Partners,,,,Venture Capital,www.londonvp.com,Europe,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.06,"London, United Kingdom",www.londonvp.com,,,,,,,,,,,,,,,
MacKenzie Ward,Oklahoma Life Science Fund,,,,Venture Capital,www.olsfventures.com,Oklahoma,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.06,"Tulsa, OK",www.olsfventures.com,,,,,,,,,,,,,,,
Paul A. Maeder,Highland Capital Partners,,,,Venture Capital,www.hcp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Cambridge, MA",www.hcp.com,,,,,,,,,,,,,,,
Yoram Katz,Impact Capital (New York),,,,Venture Capital,www.impactcapitalny.com,NY Other,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.20,"Pittsford, NY",www.impactcapitalny.com,,,,,,,,,,,,,,,
Richard Upton,Harbor Light Capital Partners,,,,Venture Capital,www.hlcp.com,"Arizona, Colorado, Idaho, Nevada, New England, New Mexico, Utah","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$5.00,,www.hlcp.com,,,,,,,,,,,,,,,
Nasir Bin Olu Dara Jones,Nasir Jones,,,,Angel (individual),nasir.wun.io,"408, New York, Southern California",,,"Convertible Debt,SAFE,Debt",$0.03,$0.25,"Los Angeles, CA",nasir.wun.io,,,,,,,,,,,,,,,
David Samuel,Freestyle Capital,,,,Venture Capital,www.freestyle.vc,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.18,"Mill Valley, CA",www.freestyle.vc,,,,,,,,,,,,,,,
,AIG Capital Partners,,,,PE/Buyout,www.aigcapitalpartners.com,United States,"Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.05,$10.00,"New York, NY",www.aigcapitalpartners.com,,,,,,,,,,,,,,,
Wayne L. Hunter,Harbert Growth Partners,,,,Growth/Expansion,https://harbert.net/tag/harbert-growth-partners/,"DC Metro, Mid Atlantic, Midwest, Mountain, New York Metro, South, Southeast","Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.50,$1.00,"Richmond, VA",,,,,,,,,,,,,,,,
Jianguang Li,IDG Capital,,,,Venture Capital,en.idgcapital.com,"China, Hong Kong, Japan, Macau, Mongolia, North Korea, South Korea, Taiwan","Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$100.00,,en.idgcapital.com,,,,,,,,,,,,,,,
,Brookline Venture Partners,,,,Venture Capital, http://www.brooklinecap.com/, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Cambridge, MA", ,,,,,,,,,,,,,,,
Andrew Gu,DHVC,,,,Venture Capital,www.dh.vc,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$25.00,"Palo Alto, CA",www.dh.vc,,,,,,,,,,,,,,,
Peter F. Reinecke,Arsenal Capital Management,,,,Venture Capital,www.acm-stl.com,,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$10.00,,www.acm-stl.com,,,,,,,,,,,,,,,
Brian J. Kieser,Fountainhead Investment Partners,,,,Venture Capital,www.fountainheadinvestors.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"San Antonio, TX",www.fountainheadinvestors.com,,,,,,,,,,,,,,,
Christopher Sacca,Christopher Sacca,,,,Angel (individual), ,"408, 650, California",,,"Convertible Debt,SAFE,Debt",$0.03,$0.50,"Truckee, CA", ,,,,,,,,,,,,,,,
Gretchen Knoell,Lake Street Capital,,,,Secondary Buyer,www.lakestreetcapital.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$50.00,,www.lakestreetcapital.com,,,,,,,,,,,,,,,
Srini Koppolu,Hyderabad Angels,,,,Angel Group,www.hyderabadangels.in,"India, Singapore, United States",Angel Round,,"Convertible Debt,SAFE,Debt",$0.01,$0.04,"Hyderabad, India",www.hyderabadangels.in,,,,,,,,,,,,,,,
Raymond Tonsing,Raymond Tonsing,,,,Angel (individual),www.angel.co/tonsing, ,,,"Convertible Debt,SAFE,Debt",$0.25,$2.00,"San Francisco, CA",www.angel.co/tonsing,,,,,,,,,,,,,,,
Kyle Williams,Bootstrap Venture Partners,,,,Venture Capital,www.bootstrapventurepartners.com,Southern California,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$5.00,,www.bootstrapventurepartners.com,,,,,,,,,,,,,,,
Wayne D. Kimmel,SeventySix Capital,,,,Venture Capital,www.seventysixcapital.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.03,$0.10,"Conshohocken, PA",www.seventysixcapital.com,,,,,,,,,,,,,,,
Andrew Gluck,irrvrntVC,,,,Venture Capital,www.irrvrnt.io, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.04,"New York, NY",www.irrvrnt.io,,,,,,,,,,,,,,,
Mark Friday,Cathexis Ventures,,,,Corporate Venture Capital,www.cathexisventures.com,,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.00,"Houston, TX",www.cathexisventures.com,,,,,,,,,,,,,,,
Isabela Chick,Founders Factory,,,,Accelerator/Incubator,www.foundersfactory.com,,Seed,,"Convertible Debt,SAFE,Debt",$0.04,$0.21,"London, United Kingdom",www.foundersfactory.com,,,,,,,,,,,,,,,
Sung-Bae Ji,IMM Investment,,,,Venture Capital,www.imm.co.kr,Asia,"Buy-out,Early Stage,Late Stage,Mezzanine,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.00,"Seoul, South Korea",www.imm.co.kr,,,,,,,,,,,,,,,
Lisa D. Harris,Venrock,,,,Venture Capital,www.venrock.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$0.30,"Palo Alto, CA",www.venrock.com,,Yes,17%,3.0,5,2X - 5X,"Acquisition,Liquidation",On Demand,Via Due Diligence Committee,Days,3,10%,High,1%,Yes
Joy J. Lindsay,StarTec Investments,,,,Venture Capital,www.startecinv.com,Minnesota,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Minneapolis, MN",www.startecinv.com,,,,,,,,,,,,,,,
Jason McCabe Calacanis,Jason Calacanis,,,,Angel (individual),www.calacanis.com,"California, Canada, New York","Angel Round,Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.03,"San Francisco, CA",www.calacanis.com,,,,,,,,,,,,,,,
Celine Kwok,Great Oaks Venture Capital,,,,Venture Capital,great-oaks.herokuapp.com,"California, New York","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"New York, NY",great-oaks.herokuapp.com,,,,,,,,,,,,,,,
Hemi Zucker,OCV Partners,,,,Venture Capital,www.ocvpartners.com,,"Early Stage,Late Stage",,"Convertible Debt,SAFE,Debt",$1.00,$20.00,,www.ocvpartners.com,,,,,,,,,,,,,,,
,AQUITI Gestion,,,,Venture Capital,www.aquiti.fr,France,,,"Convertible Debt,SAFE,Debt",$0.16,$1.55,"Bordeaux, France",www.aquiti.fr,,,,,,,,,,,,,,,
David M. Tanen,Two River Group,,,,Venture Capital,www.tworiver.com,"Eastern Europe, Israel, United States, Western Europe","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$20.00,,www.tworiver.com,,,,,,,,,,,,,,,
Ryan J. Helon,Rev1 Ventures,,,,Venture Capital,www.rev1ventures.com,Ohio,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.00,"Columbus, OH",www.rev1ventures.com,,,,,,,,,,,,,,,
Naval Ravikant,Naval Ravikant,,,,Angel (individual), https://www.navalmanack.com/,"California, Illinois, Japan, Mauritius, New York, Ontario,   Oregon, United Kingdom",,,"Convertible Debt,SAFE,Debt",$0.05,$0.50,"San Francisco, CA", ,,,,,,,,,,,,,,,
,Crosspoint Venture Partners,,,,Venture Capital,www.cpvp.com,United States,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$4.00,"Redwood City, CA",www.cpvp.com,,,,,,,,,,,,,,,
Alicia McGinnis,Audrey's Kitchen,,,,Family Office,www.audreyskitchen.org,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.25,$1.00,,www.audreyskitchen.org,,,,,,,,,,,,,,,
,Acacia Capital Partners,,,,Venture Capital,www.acaciacp.com,Europe,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.61,$0.97,"Cambridge, United Kingdom",www.acaciacp.com,,,,,,,,,,,,,,,
,Reuters Venture Capital,,,,Venture Capital,www.rvc.com,"Israel, United States, Western Europe","Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.70,"London, United Kingdom",www.rvc.com,,,,,,,,,,,,,,,
John Hollenbach,Blue Diamond Capital,,,,PE/Buyout,www.bluediamondcat.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$0.20,$20.00,"Raleigh, NC",www.bluediamondcat.com,,,,,,,,,,,,,,,
Laurent Grill,Luma Launch,,,,Corporate Venture Capital,www.lumalaunch.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.05,"Santa Monica, CA",www.lumalaunch.com,,,,,,,,,,,,,,,
Paul E. Yoo,500 Global,,,,Venture Capital,www.500.co,"Europe, India, Japan, Southeast Asia, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"San Francisco, CA",www.500.co,,,,,,,,,,,,,,,
Daniel Borok,Newark Venture Partners,,,,Venture Capital,www.newarkventurepartners.com,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.20,"Newark, NJ",www.newarkventurepartners.com,,,,,,,,,,,,,,,
Lee X. Zapis,Zapis Capital Group,,,,Family Office,www.zapiscapital.com,"Midwest, Ohio",,,"Convertible Debt,SAFE,Debt",$0.05,$1.00,"Westlake, OH",www.zapiscapital.com,,,,,,,,,,,,,,,
Benjamin W. Slivka,Benjamin W. Slivka,,,,Angel (individual),www.benslivka.com,United States,"Angel Round,Early Stage",,"Convertible Debt,SAFE,Debt",$0.01,$0.10,"Seattle, WA",www.benslivka.com,,,,,,,,,,,,,,,
Abby Trotter,Launch Tennessee,,,,Venture Capital,launchtn.org,Tennessee,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.50,$0.03,"Nashville, TN",launchtn.org,,,,,,,,,,,,,,,
Jon Baird,TriplePoint Capital,,,,Venture Capital,www.triplepointcapital.com,"Finland, Germany, Iceland, Israel, Norway, Sweden, United Kingdom, United States","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$100.00,,www.triplepointcapital.com,,,,,,,,,,,,,,,
,Clydesdale Ventures,,,,Venture Capital,www.clydesdaleventures.com, ,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.00,$0.15,"San Francisco, CA",www.clydesdaleventures.com,,,,,,,,,,,,,,,
Wayne B. Weisman,SCP Partners,,,,PE/Buyout,www.scppartners.com,United States,"Buy-out,Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.20,$5.00,"Malvern, PA",www.scppartners.com,,,,,,,,,,,,,,,
Shaun Abrahamson,Urban Us,,,,Venture Capital,www.urban.us,,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$1.00,"Brooklyn, NY",www.urban.us,,,,,,,,,,,,,,,
