Investor Name,Fund from Fund Master,Target Customer,Industry Final,Vertical COPY,Investor Type,Website,Preferred Geography (from Fund from Fund Master),Preferred Investment Stage,Preferred Investment Stage COPY,Preferred Investment Type,Min check size,Max Check size,HQ Location,URL (from Fund from Fund Master),Preferred TAM,Impact Investor,% Diversity in Managers/LPs,Age of Fund/Investor Since (Years),Number of investments (Portfolio Size),Return Expectations,Exit Strategy Preference,Network and Support Resources ,Due diligence process,Decision-making timeline,Reputation,Portfolio Success Track Record (% Exits) ,Managers/LPs Turnover,% Portfolio Diversity,Do follow-on rounds?
,Come Up Capital,,,,Venture Capital,www.comeup.capital,United States,"Early Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.50,"Minneapolis, MN",www.comeup.capital,,,,,,,,,,,,,,,
Iñigo López-Huerta,Ysios Capital,,,,Venture Capital,www.ysioscapital.com,Europe,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.11,$1.02,"San Sebastián, Spain",www.ysioscapital.com,Over $10 Billion,Yes,60%,3.5,81,2X - 5X,"Liquidation,Acquisition",Heavily Supportive,Via Due Diligence Committee,Weeks,1,12%,Medium,5%,Yes
Daniel Hoffman,Invest Nebraska,,,,Accelerator/Incubator,www.investnebraska.com,Nebraska,"Early Stage,Late Stage,PE Growth/Expansion,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.05,"Lincoln, NE",www.investnebraska.com,,,,,,,,,,,,,,,
Adrian Li,Convergence Ventures,,,,Venture Capital,www.convergencevc.com,Southeast Asia,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.03,"Jakarta, Indonesia",www.convergencevc.com,,,,,,,,,,,,,,,
Brian R. Smith,S3 Ventures,,,,Venture Capital,www.s3vc.com,"Southwest, Texas","Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$1.00,$0.03,"Austin, TX",www.s3vc.com,,,,,,,,,,,,,,,
Aydin Senkut,Felicis Ventures,,,,Angel (individual), https://www.felicis.com/,"Brazil, British Columbia, California, India, Israel,   Massachusetts, New York, Ontario",,,"Convertible Debt,SAFE,Debt",$0.01,$1.00,"Atherton, CA", ,,,,,,,,,,,,,,,
Grace Chui-Miller,Correlation Ventures,,,,Venture Capital,www.correlationvc.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.01,$0.40,"San Francisco, CA",www.correlationvc.com,,,,,,,,,,,,,,,
Blair Shane,IVP,,,,Venture Capital,www.ivp.com,United States,"Late Stage,PE Growth/Expansion",,"Convertible Debt,SAFE,Debt",$15.00,$1.00,"Menlo Park, CA",www.ivp.com,,,,,,,,,,,,,,,
Samuel McKay,Axiom Venture Partners,,,,Venture Capital,www.axiomventures.com,United States,"Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.10,$0.50,"East Hartford, CT",www.axiomventures.com,,,,,,,,,,,,,,,
Joseph Hackett,MI-12 Ventures,,,,Angel Group,www.mi12ventures.com,United States,"Angel Round,Early Stage,Late Stage,Seed",,"Convertible Debt,SAFE,Debt",$0.02,$0.20,"York, PA",www.mi12ventures.com,,,,,,,,,,,,,,,
